,stopId,routeId,directionId,previousStop,thisStop,waitTime
93,80154,801,1,2025-11-10 19:52:14,2025-11-10 19:52:59,0.75
94,80110,801,1,,2025-11-10 19:53:03,-1.0
95,801102,801,0,,2025-11-10 19:53:03,-1.0
96,80107,801,1,,2025-11-10 19:53:05,-1.0
97,80427,801,0,,2025-11-10 19:53:15,-1.0
98,80426,801,0,,2025-11-10 19:53:15,-1.0
99,80113,801,0,,2025-11-10 19:53:16,-1.0
100,80301,807,1,2025-11-10 19:39:44,2025-11-10 19:53:18,13.566666666666666
101,80135,804,1,,2025-11-10 19:53:21,-1.0
102,80707,807,0,,2025-11-10 19:53:22,-1.0
103,80414,801,0,,2025-11-10 19:53:23,-1.0
104,81403,804,0,,2025-11-10 19:53:24,-1.0
105,80121,801,1,,2025-11-10 19:53:26,-1.0
106,80305,803,0,,2025-11-10 19:53:27,-1.0
107,80113,801,0,2025-11-10 19:53:16,2025-11-10 19:53:32,0.26666666666666666
108,80125,804,0,,2025-11-10 19:53:32,-1.0
109,80420,801,0,,2025-11-10 19:53:33,-1.0
110,80303,807,0,,2025-11-10 19:53:40,-1.0
111,80214,802,0,2025-11-10 19:52:39,2025-11-10 20:33:04,40.416666666666664
